coo: 55.68174362546_12.603550496497;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00
01-01-2022;--;--;--;--;--;--;--;--;1.31;136.59;6.39;149.45;9.81;162.96;11.29;176.91;10.71;190.96;8.13;204.70;3.74;217.86;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
02-01-2022;--;--;--;--;--;--;--;--;1.34;136.45;6.44;149.32;9.87;162.83;11.37;176.80;10.81;190.86;8.24;204.62;3.87;217.79;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
03-01-2022;--;--;--;--;--;--;--;--;1.38;136.32;6.50;149.19;9.95;162.71;11.46;176.69;10.92;190.76;8.36;204.54;3.99;217.73;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
04-01-2022;--;--;--;--;--;--;--;--;1.43;136.18;6.56;149.05;10.03;162.58;11.56;176.58;11.03;190.67;8.49;204.46;4.13;217.67;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
05-01-2022;--;--;--;--;--;--;--;--;1.49;136.04;6.64;148.92;10.12;162.46;11.67;176.47;11.15;190.58;8.62;204.39;4.27;217.62;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
06-01-2022;--;--;--;--;--;--;--;--;1.55;135.90;6.71;148.79;10.22;162.34;11.78;176.36;11.28;190.49;8.76;204.32;4.42;217.57;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
07-01-2022;--;--;--;--;--;--;--;--;1.62;135.75;6.80;148.65;10.32;162.21;11.90;176.25;11.42;190.40;8.91;204.26;4.58;217.52;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
08-01-2022;--;--;--;--;--;--;--;--;1.70;135.61;6.90;148.51;10.43;162.09;12.03;176.15;11.56;190.32;9.06;204.19;4.74;217.48;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
09-01-2022;--;--;--;--;--;--;--;--;1.78;135.46;7.00;148.38;10.55;161.97;12.17;176.04;11.71;190.23;9.22;204.13;4.90;217.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
10-01-2022;--;--;--;--;--;--;--;--;1.87;135.31;7.11;148.24;10.68;161.84;12.31;175.94;11.87;190.15;9.39;204.08;5.07;217.41;-0.76;230.05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
11-01-2022;--;--;--;--;--;--;--;--;1.97;135.16;7.22;148.10;10.81;161.72;12.46;175.84;12.03;190.08;9.56;204.03;5.25;217.38;-0.58;230.04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
12-01-2022;--;--;--;--;--;--;--;--;2.08;135.01;7.34;147.96;10.95;161.60;12.62;175.74;12.20;190.00;9.74;203.98;5.44;217.36;-0.39;230.04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
13-01-2022;--;--;--;--;--;--;--;--;2.19;134.86;7.47;147.82;11.10;161.48;12.78;175.64;12.38;189.93;9.93;203.94;5.63;217.34;-0.20;230.04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
14-01-2022;--;--;--;--;--;--;--;--;2.31;134.71;7.61;147.68;11.26;161.36;12.95;175.54;12.56;189.86;10.12;203.90;5.82;217.32;-0.01;230.05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
15-01-2022;--;--;--;--;--;--;--;--;2.44;134.55;7.76;147.55;11.42;161.24;13.13;175.45;12.75;189.80;10.31;203.86;6.02;217.31;0.19;230.06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
16-01-2022;--;--;--;--;--;--;--;--;2.57;134.40;7.91;147.41;11.59;161.12;13.32;175.36;12.95;189.74;10.52;203.83;6.23;217.31;0.40;230.07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
17-01-2022;--;--;--;--;--;--;--;--;2.72;134.25;8.07;147.27;11.76;161.00;13.51;175.27;13.15;189.68;10.73;203.80;6.44;217.31;0.61;230.10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
18-01-2022;--;--;--;--;--;--;--;--;2.86;134.09;8.23;147.13;11.95;160.89;13.71;175.18;13.36;189.62;10.94;203.77;6.65;217.31;0.82;230.12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
19-01-2022;--;--;--;--;--;--;--;--;3.02;133.93;8.41;146.99;12.13;160.77;13.91;175.09;13.58;189.57;11.16;203.75;6.88;217.32;1.04;230.16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
20-01-2022;--;--;--;--;--;--;--;--;3.18;133.78;8.59;146.85;12.33;160.66;14.12;175.01;13.80;189.52;11.39;203.74;7.10;217.34;1.27;230.19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
21-01-2022;--;--;--;--;--;--;--;--;3.35;133.62;8.77;146.72;12.53;160.55;14.34;174.93;14.02;189.47;11.62;203.73;7.33;217.35;1.50;230.24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
22-01-2022;--;--;--;--;--;--;--;--;3.53;133.47;8.96;146.58;12.74;160.44;14.56;174.85;14.26;189.43;11.85;203.72;7.57;217.38;1.73;230.29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
23-01-2022;--;--;--;--;--;--;--;--;3.71;133.31;9.16;146.44;12.96;160.33;14.79;174.77;14.49;189.39;12.10;203.72;7.81;217.41;1.96;230.34;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
24-01-2022;--;--;--;--;--;--;--;--;3.90;133.15;9.37;146.31;13.18;160.22;15.03;174.70;14.74;189.36;12.34;203.72;8.05;217.44;2.20;230.40;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
25-01-2022;--;--;--;--;--;--;--;--;4.10;132.99;9.58;146.17;13.41;160.11;15.27;174.63;14.99;189.32;12.59;203.72;8.30;217.48;2.45;230.46;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
26-01-2022;--;--;--;--;--;--;--;--;4.30;132.84;9.80;146.04;13.65;160.01;15.52;174.56;15.24;189.29;12.85;203.73;8.55;217.52;2.69;230.53;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
27-01-2022;--;--;--;--;--;--;--;--;4.51;132.68;10.03;145.90;13.89;159.90;15.77;174.50;15.50;189.27;13.11;203.75;8.81;217.57;2.94;230.61;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
28-01-2022;--;--;--;--;--;--;--;--;4.72;132.52;10.26;145.77;14.13;159.80;16.03;174.43;15.77;189.25;13.38;203.77;9.07;217.62;3.20;230.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
29-01-2022;--;--;--;--;--;--;--;--;4.94;132.37;10.49;145.64;14.39;159.70;16.29;174.37;16.04;189.23;13.65;203.79;9.34;217.68;3.46;230.78;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
30-01-2022;--;--;--;--;--;--;--;--;5.17;132.21;10.74;145.51;14.64;159.60;16.56;174.31;16.31;189.22;13.92;203.82;9.61;217.75;3.72;230.87;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
31-01-2022;--;--;--;--;--;--;--;--;5.40;132.06;10.99;145.38;14.91;159.51;16.84;174.26;16.60;189.21;14.20;203.85;9.88;217.81;3.98;230.96;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
01-02-2022;--;--;--;--;--;--;--;--;5.64;131.90;11.24;145.25;15.18;159.41;17.12;174.21;16.88;189.20;14.48;203.89;10.16;217.89;4.25;231.06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
02-02-2022;--;--;--;--;--;--;--;--;5.89;131.75;11.50;145.12;15.45;159.32;17.41;174.16;17.17;189.20;14.77;203.93;10.44;217.97;4.52;231.17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
03-02-2022;--;--;--;--;--;--;-0.77;118.96;6.14;131.60;11.77;145.00;15.73;159.23;17.70;174.11;17.46;189.20;15.06;203.98;10.72;218.05;4.79;231.28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
04-02-2022;--;--;--;--;--;--;-0.53;118.79;6.39;131.44;12.04;144.87;16.02;159.14;17.99;174.07;17.76;189.20;15.36;204.03;11.01;218.14;5.07;231.40;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
